t,rec_type,dogsonleash,dogsoffleash,horses,n_humans,dataset,elevation,slope,terrain_ruggedness,aspect_radians,snow_annual,barren,conif_open,herbaceous,shrub,dtown_m,droad_m,trail01_formal,trail01_informal,road01_paved,road01_unpaved,disturbance_bv,disturbance_bc,dwater_m,humans_per_day,biker_01,skier_01,vehicle_01,site_name
3470.740162037037,Horse Rider,0,1,2,2,CATS,1351,3,1,5.69518277430768,7.95128536224365,0,1,0,0,8311.10688120455,934.918323280387,0,1,0,0,1,0,577.0615234375,0.422492401215805,FALSE,FALSE,FALSE,camera_14
3470.7546759259258,Hiker,0,1,0,2,CATS,1351,3,1,5.69518277430768,7.95128536224365,0,1,0,0,8311.10688120455,934.918323280387,0,1,0,0,1,0,577.0615234375,0.422492401215805,FALSE,FALSE,FALSE,camera_14
3471.529872685185,Hiker,0,0,0,1,CATS,1351,3,1,5.69518277430768,7.95128536224365,0,1,0,0,8311.10688120455,934.918323280387,0,1,0,0,1,0,577.0615234375,0.422492401215805,FALSE,FALSE,FALSE,camera_14
3487.7482291666665,Hiker,0,0,0,2,CATS,1351,3,1,5.69518277430768,7.95128536224365,0,1,0,0,8311.10688120455,934.918323280387,0,1,0,0,1,0,577.0615234375,0.422492401215805,FALSE,FALSE,FALSE,camera_14
3488.4569444444446,Horse Rider,0,1,3,3,CATS,1351,3,1,5.69518277430768,7.95128536224365,0,1,0,0,8311.10688120455,934.918323280387,0,1,0,0,1,0,577.0615234375,0.422492401215805,FALSE,FALSE,FALSE,camera_14
3488.834976851852,Runner,0,0,0,1,CATS,1351,3,1,5.69518277430768,7.95128536224365,0,1,0,0,8311.10688120455,934.918323280387,0,1,0,0,1,0,577.0615234375,0.422492401215805,FALSE,FALSE,FALSE,camera_14
3490.444710648148,Hiker,0,0,0,1,CATS,1351,3,1,5.69518277430768,7.95128536224365,0,1,0,0,8311.10688120455,934.918323280387,0,1,0,0,1,0,577.0615234375,0.422492401215805,FALSE,FALSE,FALSE,camera_14
3491.628773148148,Horse Rider,0,2,2,2,CATS,1351,3,1,5.69518277430768,7.95128536224365,0,1,0,0,8311.10688120455,934.918323280387,0,1,0,0,1,0,577.0615234375,0.422492401215805,FALSE,FALSE,FALSE,camera_14
3491.6837847222223,Horse Rider,0,2,2,2,CATS,1351,3,1,5.69518277430768,7.95128536224365,0,1,0,0,8311.10688120455,934.918323280387,0,1,0,0,1,0,577.0615234375,0.422492401215805,FALSE,FALSE,FALSE,camera_14
3492.6515972222223,Horse Rider,0,0,7,7,CATS,1351,3,1,5.69518277430768,7.95128536224365,0,1,0,0,8311.10688120455,934.918323280387,0,1,0,0,1,0,577.0615234375,0.422492401215805,FALSE,FALSE,FALSE,camera_14
3493.4684722222223,Horse Rider,0,0,3,3,CATS,1351,3,1,5.69518277430768,7.95128536224365,0,1,0,0,8311.10688120455,934.918323280387,0,1,0,0,1,0,577.0615234375,0.422492401215805,FALSE,FALSE,FALSE,camera_14
3495.5006597222223,Hiker,0,0,0,3,CATS,1351,3,1,5.69518277430768,7.95128536224365,0,1,0,0,8311.10688120455,934.918323280387,0,1,0,0,1,0,577.0615234375,0.422492401215805,FALSE,FALSE,FALSE,camera_14
